,Current_Ranking,Player_Name,Team,Position,Games_Played,Minutes_per_Game,Points_per_Game,Field_Goals_Made_per_Game,Field_Goals_Attempted_per_Game,Field_Goals_Percentage_per_Game,3Pointers_Made_per_Game,3Pointers_Attempted_per_Game,3Pointers_Percentage_per_Game,Free_Throws_Made_per_Game,Free_Throws_Attempted_per_Game,Free_Throws_Percentage_per_Game,Rebounds_per_Game,Assists_per_Game,Steals_per_Game,Blocks_per_Game,Turnovers_per_Game,Total_Double_Doubles,Total_Triple_Doubles
0,1,Luka Doncic,DAL,PG,23,36.8,32.9,11.3,22.4,50.3,2.8,8.1,34.8,7.5,10.4,72.4,8.6,8.7,1.7,0.7,3.7,12,6
1,2,Giannis Antetokounmpo,MIL,PF,19,32.9,31.9,11.7,21.6,54.4,0.8,3.3,23.8,7.6,12.3,62.0,11.3,5.5,0.8,1.1,3.7,13,1
2,3,Shai Gilgeous-Alexander,OKC,PG,22,35.7,31.3,10.7,21.1,50.6,1.0,3.0,32.8,9.0,9.6,92.9,4.8,6.0,1.8,1.1,3.3,1,0
3,4,Jayson Tatum,BOS,SF,24,37.0,30.8,10.1,21.0,48.0,3.4,9.4,36.4,7.2,8.3,86.9,8.3,4.2,1.0,1.0,2.8,12,0
4,5,Stephen Curry,GS,PG,23,34.8,30.0,10.1,20.3,49.9,5.1,11.8,43.2,4.6,5.1,90.6,6.6,7.0,1.0,0.3,3.1,7,1
5,6,Kevin Durant,BKN,PF,25,36.9,29.9,10.6,19.2,55.3,1.6,4.6,33.9,7.1,7.8,91.8,6.6,5.4,0.7,1.8,3.4,2,1
6,7,Donovan Mitchell,CLE,SG,23,36.7,29.0,10.1,20.4,49.6,3.9,9.1,42.4,4.9,5.5,89.0,4.0,4.9,1.5,0.4,3.0,2,0
7,8,Ja Morant,MEM,PG,20,33.3,28.5,9.9,21.4,46.4,1.9,5.0,37.0,6.8,9.2,74.3,6.3,7.5,1.1,0.3,3.8,6,1
8,9,Devin Booker,PHX,SG,24,35.8,28.4,10.2,20.8,48.8,2.4,6.1,39.0,5.7,6.5,87.2,4.9,5.9,1.0,0.4,2.5,3,0
9,10,Trae Young,ATL,PG,22,35.5,27.6,8.8,21.6,40.8,2.2,7.4,29.6,7.8,8.6,90.0,2.9,9.6,0.7,0.1,3.5,12,0
10,11,Anthony Davis,LAL,PF,21,33.3,27.3,10.3,17.5,59.0,0.4,1.3,33.3,6.2,7.5,82.3,12.3,2.6,1.3,2.3,1.9,15,0
